original tokens,,edited tokens,deleted tokens,added tokens,replaced tokens,sentences,paragraphs,punctuations,word_punctuation,character names,place names,special words
’,,him,,,,,,,,,,
t,,over,,,,,,,,,,
feel,,.,,,,EOS,,p,w_p_pre,,,
like,,Neville’s,,,Neville,BOS,,,,,,
a,,,’,,,,,,,,,
very,,,s,,,,,,,,,
good,,jaws,,,,,,,,,,
omen,,were,,,,,,,,,,
.,,jammed,,,,,,,,,,
In,,together,,,,,,,,,,
their,,so,,,,,,,,,,
nervous,,he,,,,,,,,,,
state,,couldn’t,,,couldn,,,,,,,
",",,,’,,,,,,,,,
every,,,t,,,,,,,,,
statue,,speak,,,,,,,,,,
’,,.,,,,EOS,,p,w_p_pre,,,
s,,Only,,,,BOS,,,,,,
shadow,,his,,,,,,,,,,
looked,,eyes,,,,,,,,,,
like,,were,,,,,,,,,,
Filch,,moving,,,,,,,,,,
",",,",",,,,,,p,w_p_pre,,,
every,,looking,,,,,,,,,,
distant,,at,,,,,,,,,,
breath,,them,,,,,,,,,,
of,,in,,,,,,,,,,
wind,,horror,,,honor,,,,,,,
sounded,,.,,,,EOS,,p,w_p_pre,,,
like,,“,,,,BOS,,p,w_p_fol,,,
Peeves,,What’ve,,,What,,,,,,,
swooping,,,’,,,,,,,,,
down,,,ve,,,,,,,,,
on,,you,,,,,,,,,,
them,,done,,,,,,,,,,
.,,to,,,,,,,,,,
At,,him,,,,,,,,,,
the,,?,,,?”,,,p,w_p_pre,,,
foot,,”,,add,,,,p,w_p_pre,,,
of,,Harry,,,Hany,,,,,,,
the,,whispered,,,,,,,,,,
first,,.,,,,EOS,,p,w_p_pre,,,
set,,“,,,,BOS,,p,w_p_fol,,,
of,,It’s,,,It,,,,,,,
stairs,,,’,,,,,,,,,
",",,,s,,,,,,,,,
they,,the,,,,,,,,,,
spotted,,full,,,,,,,,,,
Mrs,,Body-Bind,,,Body,,,,,,,
.,,,-,,,,,,,,,
Norris,,,Bind,,,,,,,,,
skulking,,",",,,",”",,,p,w_p_pre,,,
near,,”,,add,,,,p,w_p_pre,,,
the,,said,,,,,,,,,,
top,,Hermione,,,Hennione,,,,,,,
.,,miserably,,,,,,,,,,
“,,.,,,,EOS,,p,w_p_pre,,,
Oh,,“,,,,BOS,,p,w_p_fol,,,
",",,Oh,,,,,,,,,,
let,,",",,,,,,p,w_p_pre,,,
’,,Neville,,,,,,,,,,
s,,",",,,,,,p,w_p_pre,,,
kick,,I’m,,,I,,,,,,,
her,,,’,,,,,,,,,
",",,,m,,,,,,,,,
just,,so,,,,,,,,,,
this,,sorry,,,,,,,,,,
once,,.,,,.”,,,p,w_p_pre,,,
",”",,”,,add,,EOS,,p,w_p_pre,,,
Ron,,“,,,,BOS,,p,w_p_fol,,,
whispered,,We,,,,,,,,,,
in,,had,,,,,,,,,,
Harry,,to,,,,,,,,,,
’,,",",,,,,,p,w_p_pre,,,
s,,Neville,,,,,,,,,,
ear,,",",,,,,,p,w_p_pre,,,
",",,no,,,,,,,,,,
but,,time,,,,,,,,,,
Harry,,to,,,,,,,,,,
shook,,explain,,,,,,,,,,
his,,",",,,",”",,,p,w_p_pre,,,
head,,”,,add,,,,p,w_p_pre,,,
.,,said,,,,,,,,,,
As,,Harry,,,,,,,,,,
they,,.,,,,EOS,,p,w_p_pre,,,
climbed,,“,,,,BOS,,p,w_p_fol,,,
carefully,,You’ll,,,You,,,,,,,
around,,,’,,,,,,,,,
her,,,ll,,,,,,,,,
",",,understand,,,,,,,,,,
Mrs,,later,,,,,,,,,,
.,,",",,,,,,p,w_p_pre,,,
Norris,,Neville,,,,,,,,,,
turned,,",",,,",”",,,p,w_p_pre,,,
her,,”,,add,,,,p,w_p_pre,,,
lamplike,,said,,,,,,,,,,
eyes,,Ron,,,,,,,,,,
on,,as,,,,,,,,,,
them,,they,,,,,,,,,,
",",,stepped,,,,,,,,,,
but,,over,,,,,,,,,,
didn,,him,,,,,,,,,,
’,,and,,,,,,,,,,
t,,pulled,,,,,,,,,,
do,,on,,,,,,,,,,
anything,,the,,,,,,,,,,
.,,invisibility,,,,,,,,,,
They,,cloak,,,,,,,,,,
didn,,.,,,,EOS,EOP,p,w_p_pre,,,
’,,But,,,,BOS,BOP,,,,,
t,,leaving,,,,,,,,,,
meet,,Neville,,,,,,,,,,
anyone,,lying,,,,,,,,,,
else,,motionless,,,,,,,,,,
until,,on,,,,,,,,,,
they,,the,,,,,,,,,,
reached,,floor,,,,,,,,,,
the,,didn’t,,,didn,,,,,,,
staircase,,,’,,,,,,,,,
up,,,t,,,,,,,,,
to,,feel,,,,,,,,,,
the,,like,,,,,,,,,,
third,,a,,,,,,,,,,
floor,,very,,,,,,,,,,
.,,good,,,,,,,,,,
Peeves,,omen,,,,,,,,,,
was,,.,,,,EOS,,p,w_p_pre,,,
bobbing,,In,,,,BOS,,,,,,
halfway,,their,,,,,,,,,,
up,,nervous,,,,,,,,,,
",",,state,,,,,,,,,,
loosening,,",",,,,,,p,w_p_pre,,,
the,,every,,,,,,,,,,
carpet,,statue’s,,,statue,,,,,,,
so,,,’,,,,,,,,,
that,,,s,,,,,,,,,
people,,shadow,,,,,,,,,,
would,,looked,,,,,,,,,,
trip,,like,,,,,,,,,,
.,,Filch,,,,,,,,,,
“,,",",,,,,,p,w_p_pre,,,
Who,,every,,,,,,,,,,
’,,distant,,,,,,,,,,
s,,breath,,,,,,,,,,
there,,of,,,,,,,,,,
?”,,wind,,,,,,,,,,
he,,sounded,,,,,,,,,,
said,,like,,,,,,,,,,
suddenly,,Peeves,,,,,,,,,,
as,,swooping,,,,,,,,,,
they,,down,,,,,,,,,,
climbed,,on,,,,,,,,,,
toward,,them,,,,,,,,,,
him,,.,,,,EOS,,p,w_p_pre,,,
.,,At,,,,BOS,,,,,,
He,,the,,,,,,,,,,
narrowed,,foot,,,,,,,,,,
his,,of,,,,,,,,,,
wicked,,the,,,,,,,,,,
black,,first,,,,,,,,,,
eyes,,set,,,,,,,,,,
.,,of,,,,,,,,,,
“,,stairs,,,,,,,,,,
Know,,",",,,,,,p,w_p_pre,,,
you,,they,,,,,,,,,,
’,,spotted,,,,,,,,,,
re,,Mrs.,,,Mrs,,,,,,,
there,,,.,,,,,,,,,
",",,Norris,,,,,,,,,,
even,,skulking,,,,,,,,,,
if,,near,,,,,,,,,,
I,,the,,,,,,,,,,
can,,top,,,,,,,,,,
’,,.,,,,EOS,,p,w_p_pre,,,
t,,“,,,,BOS,,p,w_p_fol,,,
see,,Oh,,,,,,,,,,
you,,",",,,,,,p,w_p_pre,,,
.,,let’s,,,let,,,,,,,
Are,,,’,,,,,,,,,
you,,,s,,,,,,,,,
ghoulie,,kick,,,,,,,,,,
or,,her,,,,,,,,,,
ghostie,,",",,,,,,p,w_p_pre,,,
or,,just,,,,,,,,,,
wee,,this,,,,,,,,,,
student,,once,,,,,,,,,,
beastie,,",",,,",”",,,p,w_p_pre,,,
?”,,”,,add,,,,p,w_p_pre,,,
He,,Ron,,,,,,,,,,
rose,,whispered,,,,,,,,,,
up,,in,,,,,,,,,,
in,,Harry’s,,,Harry,,,,,,,
the,,,’,,,,,,,,,
air,,,s,,,,,,,,,
and,,ear,,,,,,,,,,
floated,,",",,,,,,p,w_p_pre,,,
there,,but,,,,,,,,,,
",",,Harry,,,,,,,,,,
squinting,,shook,,,,,,,,,,
at,,his,,,,,,,,,,
them,,head,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
“,,As,,,,BOS,,,,,,
Should,,they,,,,,,,,,,
call,,climbed,,,,,,,,,,
Filch,,carefully,,,,,,,,,,
",",,around,,,,,,,,,,
I,,her,,,,,,,,,,
should,,",",,,,,,p,w_p_pre,,,
",",,Mrs.,,,Mrs,,,,,,,
if,,,.,,,,,,,,,
something,,Norris,,,,,,,,,,
’,,turned,,,,,,,,,,
s,,her,,,,,,,,,,
a,,lamplike,,,,,,,,,,
-,,eyes,,,,,,,,,,
creeping,,on,,,,,,,,,,
around,,them,,,,,,,,,,
unseen,,",",,,,,,p,w_p_pre,,,
.”,,but,,,,,,,,,,
Harry,,didn’t,,,didn,,,,,,,
had,,,’,,,,,,,,,
a,,,t,,,,,,,,,
sudden,,do,,,,,,,,,,
idea,,anything,,,,,,,,,,
.,,.,,,,EOS,EOP,p,w_p_pre,,,
“,,They,,,,BOS,BOP,,,,,
Peeves,,didn’t,,,didn,,,,,,,
",”",,,’,,,,,,,,,
he,,,t,,,,,,,,,
said,,meet,,,,,,,,,,
",",,anyone,,,,,,,,,,
in,,else,,,,,,,,,,
a,,until,,,,,,,,,,
hoarse,,they,,,,,,,,,,
whisper,,reached,,,,,,,,,,
",",,the,,,,,,,,,,
“,,staircase,,,,,,,,,,
the,,up,,,,,,,,,,
Bloody,,to,,,,,,,,,,
Baron,,the,,,,,,,,,,
has,,third,,,,,,,,,,
his,,floor,,,,,,,,,,
own,,.,,,,EOS,,p,w_p_pre,,,
reasons,,Peeves,,,,BOS,,,,,,
for,,was,,,,,,,,,,
being,,bobbing,,,,,,,,,,
invisible,,halfway,,,,,,,,,,
.”,,up,,,,,,,,,,
Peeves,,",",,,,,,p,w_p_pre,,,
almost,,loosening,,,,,,,,,,
fell,,the,,,,,,,,,,
out,,carpet,,,,,,,,,,
of,,so,,,,,,,,,,
the,,that,,,,,,,,,,
air,,people,,,,,,,,,,
in,,would,,,,,,,,,,
shock,,trip,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
He,,“,,,,BOS,,p,w_p_fol,,,
caught,,Who’s,,,Who,,,,,,,
himself,,,’,,,,,,,,,
in,,,s,,,,,,,,,
time,,there,,,,,,,,,,
and,,?,,,?”,,,p,w_p_pre,,,
hovered,,”,,add,,,,p,w_p_pre,,,
about,,he,,,,,,,,,,
a,,said,,,,,,,,,,
foot,,suddenly,,,,,,,,,,
off,,as,,,,,,,,,,
the,,they,,,,,,,,,,
stairs,,climbed,,,,,,,,,,
.,,toward,,,,,,,,,,
“,,him,,,,,,,,,,
So,,.,,,,EOS,,p,w_p_pre,,,
sorry,,He,,,,BOS,,,,,,
",",,narrowed,,,,,,,,,,
your,,his,,,,,,,,,,
bloodiness,,wicked,,,,,,,,,,
",",,black,,,,,,,,,,
Mr,,eyes,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
Baron,,“,,,,BOS,,p,w_p_fol,,,
",",,Know,,,,,,,,,,
Sir,,you’re,,,you,,,,,,,
",”",,,’,,,,,,,,,
he,,,re,,,,,,,,,
said,,there,,,,,,,,,,
greasily,,",",,,,,,p,w_p_pre,,,
.,,even,,,,,,,,,,
“,,if,,,,,,,,,,
My,,I,,,,,,,,,,
mistake,,can’t,,,can,,,,,,,
",",,,’,,,,,,,,,
my,,,t,,,,,,,,,
mistake,,see,,,,,,,,,,
—,,you,,,,,,,,,,
I,,.,,,,EOS,,p,w_p_pre,,,
didn,,Are,,,,BOS,,,,,,
’,,you,,,,,,,,,,
t,,ghoulie,,,,,,,,,,
see,,or,,,,,,,,,,
you,,ghostie,,,,,,,,,,
—,,or,,,,,,,,,,
of,,wee,,,,,,,,,,accent
course,,student,,,,,,,,,,
I,,beastie,,,,,,,,,,
didn,,?,,,?”,,,p,w_p_pre,,,
’,,”,,add,,EOS,,p,w_p_pre,,,
t,,He,,,,BOS,,,,,,
",",,rose,,,,,,,,,,
you,,up,,,,,,,,,,
’,,in,,,,,,,,,,
re,,the,,,,,,,,,,
invisible,,air,,,,,,,,,,
—,,and,,,,,,,,,,
forgive,,floated,,,,,,,,,,
old,,there,,,,,,,,,,
Peevsie,,",",,,,,,p,w_p_pre,,,
his,,squinting,,,,,,,,,,
little,,at,,,,,,,,,,
joke,,them,,,,,,,,,,
",",,.,,,,EOS,,p,w_p_pre,,,
sir,,“,,,,BOS,,p,w_p_fol,,,
.”,,Should,,,,,,,,,,
“,,call,,,,,,,,,,
I,,Filch,,,,,,,,,,
have,,",",,,,,,p,w_p_pre,,,
business,,I,,,,,,,,,,
here,,should,,,,,,,,,,
",",,",",,,,,,p,w_p_pre,,,
Peeves,,if,,,,,,,,,,
",”",,something’s,,,something,,,,,,,
croaked,,,’,,,,,,,,,
Harry,,,s,,,,,,,,,
.,,a-creeping,,,a,,,,,,,accent
“,,,-,,,,,,,,,
Stay,,,creeping,,,,,,,,,
away,,around,,,,,,,,,,
from,,unseen,,,,,,,,,,
this,,.,,,.”,,,p,w_p_pre,,,
place,,”,,add,,EOS,EOP,p,w_p_pre,,,
tonight,,Harry,,,,BOS,BOP,,,,,
.”,,had,,,,,,,,,,
“,,a,,,,,,,,,,
I,,sudden,,,,,,,,,,
will,,idea,,,,,,,,,,
",",,.,,,,EOS,,p,w_p_pre,,,
sir,,“,,,,BOS,,p,w_p_fol,,,
",",,Peeves,,,,,,,,,,
I,,",",,,",”",,,p,w_p_pre,,,
most,,”,,add,,,,p,w_p_pre,,,
certainly,,he,,,,,,,,,,
will,,said,,,,,,,,,,
",”",,",",,,,,,p,w_p_pre,,,
said,,in,,,,,,,,,,
Peeves,,a,,,,,,,,,,
",",,hoarse,,,,,,,,,,
rising,,whisper,,,,,,,,,,
up,,",",,,,,,p,w_p_pre,,,
in,,“,,,,,,p,w_p_fol,,,
the,,the,,,,,,,,,,
air,,Bloody,,,,,,,,,,
again,,Baron,,,,,,,,,,
.,,has,,,,,,,,,,
“,,his,,,,,,,,,,
Hope,,own,,,,,,,,,,
your,,reasons,,,,,,,,,,
business,,for,,,,,,,,,,
goes,,being,,,,,,,,,,
well,,invisible,,,,,,,,,,
",",,.,,,.”,,,p,w_p_pre,,,
Baron,,”,,add,,EOS,,p,w_p_pre,,,
",",,Peeves,,,,BOS,,,,,,
I,,almost,,,,,,,,,,
’,,fell,,,,,,,,,,
ll,,out,,,,,,,,,,
not,,of,,,,,,,,,,
bother,,the,,,,,,,,,,
you,,air,,,,,,,,,,
.”,,in,,,,,,,,,,
And,,shock,,,,,,,,,,
he,,.,,,,EOS,,p,w_p_pre,,,
scooted,,He,,,,BOS,,,,,,
off,,caught,,,,,,,,,,
.,,himself,,,,,,,,,,
“,,in,,,,,,,,,,
Brilliant,,time,,,,,,,,,,
",",,and,,,,,,,,,,
Harry,,hovered,,,,,,,,,,
!”,,about,,,,,,,,,,
whispered,,a,,,,,,,,,,
Ron,,foot,,,,,,,,,,
.,,off,,,,,,,,,,
A,,the,,,,,,,,,,
few,,stairs,,,,,,,,,,
seconds,,.,,,,EOS,,p,w_p_pre,,,
later,,“,,,,BOS,,p,w_p_fol,,,
",",,So,,,,,,,,,,
they,,sorry,,,,,,,,,,
were,,",",,,,,,p,w_p_pre,,,
there,,your,,,,,,,,,,
",",,bloodiness,,,,,,,,,,
outside,,",",,,,,,p,w_p_pre,,,
the,,Mr.,,,Mr,,,,,,,
third,,,.,,,,,,,,,
-,,Baron,,,,,,,,,,
floor,,",",,,,,,p,w_p_pre,,,
corridor,,Sir,,,,,,,,,,
—,,",",,,",”",,,p,w_p_pre,,,
and,,”,,add,,,,p,w_p_pre,,,
the,,he,,,,,,,,,,
door,,said,,,,,,,,,,
was,,greasily,,,,,,,,,,
already,,.,,,,EOS,,p,w_p_pre,,,
ajar,,“,,,,BOS,,p,w_p_fol,,,
.,,My,,,,,,,,,,
“,,mistake,,,,,,,,,,
Well,,",",,,,,,p,w_p_pre,,,
",",,my,,,,,,,,,,
there,,mistake,,,,,,,,,,
you,,—,,,,,,p,w_p_pre,,,
are,,I,,,,,,,,,,
",”",,didn’t,,,didn,,,,,,,
Harry,,,’,,,,,,,,,
said,,,t,,,,,,,,,
quietly,,see,,,,,,,,,,
",",,you,,,,,,,,,,
“,,—,,,,,,p,w_p_pre,,,
Snape,,of,,,,,,,,,,
’,,course,,,,,,,,,,
s,,I,,,,,,,,,,
already,,didn’t,,,didn,,,,,,,
got,,,’,,,,,,,,,
past,,,t,,,,,,,,,
Fluffy,,",",,,,,,p,w_p_pre,,,
.”,,you’re,,,you,,,,,,,
Seeing,,,’,,,,,,,,,
the,,,re,,,,,,,,,
open,,invisible,,,,,,,,,,
door,,—,,,,,,p,w_p_pre,,,
somehow,,forgive,,,,,,,,,,
seemed,,old,,,,,,,,,,
to,,Peevsie,,,,,,,,,,
impress,,his,,,,,,,,,,
upon,,little,,,,,,,,,,
all,,joke,,,,,,,,,,
three,,",",,,,,,p,w_p_pre,,,
of,,sir,,,,,,,,,,
them,,.,,,.”,,,p,w_p_pre,,,
what,,”,,add,,EOS,,p,w_p_pre,,,
was,,“,,,,BOS,,p,w_p_fol,,,
facing,,I,,,,,,,,,,
them,,have,,,,,,,,,,
.,,business,,,,,,,,,,
Underneath,,here,,,,,,,,,,
the,,",",,,,,,p,w_p_pre,,,
cloak,,Peeves,,,,,,,,,,
",",,",",,,",”",,,p,w_p_pre,,,
Harry,,”,,add,,,,p,w_p_pre,,,
turned,,croaked,,,,,,,,,,
to,,Harry,,,,,,,,,,
the,,.,,,,EOS,,p,w_p_pre,,,
other,,“,,,,BOS,,p,w_p_fol,,,
two,,Stay,,,,,,,,,,
.,,away,,,,,,,,,,
“,,from,,,,,,,,,,
If,,this,,,,,,,,,,
you,,place,,,,,,,,,,
want,,tonight,,,,,,,,,,
to,,.,,,.”,,,p,w_p_pre,,,
go,,”,,add,,EOS,,p,w_p_pre,,,
back,,“,,,,BOS,,p,w_p_fol,,,
",",,I,,,,,,,,,,
I,,will,,,,,,,,,,
won,,",",,,,,,p,w_p_pre,,,
’,,sir,,,,,,,,,,
t,,",",,,,,,p,w_p_pre,,,
blame,,I,,,,,,,,,,
you,,most,,,,,,,,,,
",”",,certainly,,,,,,,,,,
he,,will,,,,,,,,,,
said,,",",,,",”",,,p,w_p_pre,,,
.,,”,,add,,,,p,w_p_pre,,,
“,,said,,,,,,,,,,
You,,Peeves,,,,,,,,,,
can,,",",,,,,,p,w_p_pre,,,
take,,rising,,,,,,,,,,
the,,up,,,,,,,,,,
cloak,,in,,,,,,,,,,
",",,the,,,,,,,,,,
I,,air,,,,,,,,,,
won,,again,,,,,,,,,,
’,,.,,,,EOS,,p,w_p_pre,,,
t,,“,,,,BOS,,p,w_p_fol,,,
need,,Hope,,,,,,,,,,
it,,your,,,,,,,,,,
now,,business,,,,,,,,,,
.”,,goes,,,,,,,,,,
“,,well,,,,,,,,,,
Don,,",",,,,,,p,w_p_pre,,,
’,,Baron,,,,,,,,,,
t,,",",,,,,,p,w_p_pre,,,
be,,I’ll,,,I,,,,,,,
stupid,,,’,,,,,,,,,
",”",,,ll,,,,,,,,,
said,,not,,,,,,,,,,
Ron,,bother,,,,,,,,,,
.,,you,,,,,,,,,,
“,,.,,,.”,,,p,w_p_pre,,,
We,,”,,add,,EOS,,p,w_p_pre,,,
’,,And,,,,BOS,,,,,,
re,,he,,,,,,,,,,
coming,,scooted,,,,,,,,,,
",”",,off,,,,,,,,,,
said,,.,,,,EOS,EOP,p,w_p_pre,,,
Hermione,,“,,,,BOS,BOP,p,w_p_fol,,,
.,,Brilliant,,,,,,,,,,
Harry,,",",,,,,,p,w_p_pre,,,
pushed,,Harry,,,,,,,,,,
the,,!,,,!”,,,p,w_p_pre,,,
door,,”,,add,,,,p,w_p_pre,,,
open,,whispered,,,,,,,,,,
.,,Ron,,,,,,,,,,
As,,.,,,,EOS,,p,w_p_pre,,,
the,,A,,,,BOS,,,,,,
door,,few,,,,,,,,,,
creaked,,seconds,,,,,,,,,,
",",,later,,,,,,,,,,
low,,",",,,,,,p,w_p_pre,,,
",",,they,,,,,,,,,,
rumbling,,were,,,,,,,,,,
growls,,there,,,,,,,,,,
met,,",",,,,,,p,w_p_pre,,,
their,,outside,,,,,,,,,,
ears,,the,,,,,,,,,,
.,,third-floor,,,third,,,,,,,
All,,,-,,,,,,,,,
three,,,floor,,,,,,,,,
of,,corridor,,,,,,,,,,
the,,—,,,,,,p,w_p_pre,,,
dog,,and,,,,,,,,,,
’,,the,,,,,,,,,,
s,,door,,,,,,,,,,
noses,,was,,,,,,,,,,
sniffed,,already,,,,,,,,,,
madly,,ajar,,,,,,,,,,
in,,.,,,,EOS,,p,w_p_pre,,,
their,,“,,,,BOS,,p,w_p_fol,,,
direction,,Well,,,,,,,,,,
",",,",",,,,,,p,w_p_pre,,,
even,,there,,,,,,,,,,
though,,you,,,,,,,,,,
it,,are,,,,,,,,,,
couldn,,",",,,",”",,,p,w_p_pre,,,
’,,”,,add,,,,p,w_p_pre,,,
t,,Harry,,,,,,,,,,
see,,said,,,,,,,,,,
them,,quietly,,,,,,,,,,
.,,",",,,,,,p,w_p_pre,,,
“,,“,,,,,,p,w_p_fol,,,
What,,Snape’s,,,Snape,,,,,,,
’,,,’,,,,,,,,,
s,,,s,,,,,,,,,
that,,already,,,,,,,,,,
at,,got,,,,,,,,,,
its,,past,,,,,,,,,,
feet,,Fluffy,,,,,,,,,,
?”,,.,,,.”,,,p,w_p_pre,,,
Hermione,,”,,add,,EOS,,p,w_p_pre,,,
whispered,,Seeing,,,,BOS,,,,,,
.,,the,,,,,,,,,,
“,,open,,,,,,,,,,
Looks,,door,,,,,,,,,,
like,,somehow,,,,,,,,,,
a,,seemed,,,,,,,,,,
harp,,to,,,,,,,,,,
",”",,impress,,,,,,,,,,
said,,upon,,,,,,,,,,
Ron,,all,,,,,,,,,,
.,,three,,,,,,,,,,
“,,of,,,,,,,,,,
Snape,,them,,,,,,,,,,
must,,what,,,,,,,,,,
have,,was,,,,,,,,,,
left,,facing,,,,,,,,,,
it,,them,,,,,,,,,,
there,,.,,,,EOS,,p,w_p_pre,,,
.”,,Underneath,,,,BOS,,,,,,
“,,the,,,,,,,,,,
It,,cloak,,,,,,,,,,
must,,",",,,,,,p,w_p_pre,,,
wake,,Harry,,,,,,,,,,
up,,turned,,,,,,,,,,
the,,to,,,,,,,,,,
moment,,the,,,,,,,,,,
you,,other,,,,,,,,,,
stop,,two,,,,,,,,,,
playing,,.,,,,EOS,,p,w_p_pre,,,
",”",,“,,,,BOS,,p,w_p_fol,,,
said,,If,,,,,,,,,,
Harry,,you,,,,,,,,,,
.,,want,,,,,,,,,,
“,,to,,,,,,,,,,
Well,,go,,,,,,,,,,
",",,back,,,,,,,,,,
here,,",",,,,,,p,w_p_pre,,,
goes,,I,,,,,,,,,,
.,,won’t,,,won,,,,,,,
.,,,’,,,,,,,,,
.”,,,t,,,,,,,,,
He,,blame,,,,,,,,,,
put,,you,,,,,,,,,,
Hagrid,,",",,,",”",,,p,w_p_pre,,,
’,,”,,add,,,,p,w_p_pre,,,
s,,he,,,,,,,,,,
flute,,said,,,,,,,,,,
to,,.,,,,EOS,,p,w_p_pre,,,
his,,“,,,,BOS,,p,w_p_fol,,,
lips,,You,,,,,,,,,,
and,,can,,,,,,,,,,
blew,,take,,,,,,,,,,
.,,the,,,,,,,,,,
It,,cloak,,,,,,,,,,
wasn,,",",,,,,,p,w_p_pre,,,
’,,I,,,,,,,,,,
t,,won’t,,,won,,,,,,,
really,,,’,,,,,,,,,
a,,,t,,,,,,,,,
tune,,need,,,,,,,,,,
",",,it,,,,,,,,,,
but,,now,,,,,,,,,,
from,,.,,,.”,,,p,w_p_pre,,,
the,,”,,add,,EOS,,p,w_p_pre,,,
first,,“,,,,BOS,,p,w_p_fol,,,
note,,Don’t,,,Don,,,,,,,
the,,,’,,,,,,,,,
beast,,,t,,,,,,,,,
’,,be,,,,,,,,,,
s,,stupid,,,,,,,,,,
eyes,,",",,,",”",,,p,w_p_pre,,,
began,,”,,add,,,,p,w_p_pre,,,
to,,said,,,,,,,,,,
droop,,Ron,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
Harry,,“,,,,BOS,,p,w_p_fol,,,
hardly,,We’re,,,We,,,,,,,
drew,,,’,,,,,,,,,
breath,,,re,,,,,,,,,
.,,coming,,,,,,,,,,
Slowly,,",",,,",”",,,p,w_p_pre,,,
",",,”,,add,,,,p,w_p_pre,,,
the,,said,,,,,,,,,,
dog,,Hermione,,,,,,,,,,
